"id";"titre";"technologies";"description";"url";"est_expose_galerie";"diplome_id";"cours_id"
"20";"Ta-atouas";"Figma,
Axure,
Illustrator,
Photoshop";"<p>Le mandat consistait à réaliser une application en réalité augmentée, Ta-atouas, qui permettait de prévisualiser un tatouage sur son corps.</p><p>Ce projet consistait à mettre en pratique notre créativité, notre analyse, notre gestion, nos techniques de design et la théorie de mise en page et du design <abbr title="" User experience "">UX</abbr>.</p>";"https://www.figma.com/file/gqjoNhGLYqF1It09HLygO1/gr02_BourgaultA_Taatouas?node-id=0%3A1";"0";"48";"15"
"21";"Outil intégrateur";"Figma,
Axure";"<p>Le mandat consistait à développer un outil d’intervention adapté aux étudiants, qui permet de cibler rapidement les besoins académiques de l’étudiant : concentration, organisation, études, attitude en classe, notes de cours et les examens.</p><p>Ce projet nous poussait à aller plus loin dans nos réflexions, à interroger de vrais utilisateurs (les étudiants) et communiquer et comprendre les besoins d’un vrai client.</p>";"Progression_Questionnaire (axshare.com)";"0";"48";"20"
"22";"Animation d’un logo";"Illustrator,
After Effects
";"<p>Le mandat consistait à réaliser une animation courte de type «Bumper» qui mettra en valeur le logo d’un organisme réel de votre choix, moi j’ai choisi le logo Android.</p> ";;"0";"48";"16"
"23";"La pastèque";"Axure 
Figma
<abbr title =""Hypertext Markup Language"">HTML</abbr>
<abbr title =""Cascade Style Sheet"">CSS</abbr>
<abbr title =""Syntactically Awesome Style Sheets"">Sass</abbr>
<abbr title =""HypertextPreprocessor"">PHP</abbr>
<abbr title =""Model-View-Controller"">MVC</abbr>
BladeOne. 
Javascript.";"<p> Nous avions à concevoir un site de vente de livres. Ce projet a été réalisé en collaboration avec <a href=""#"">Anne Marie Bourgault</a> et <a href=""#"">Pierre Alexandre Hébert</a>.
La clientèle cible recherchée est composée d’amoureux de l’objet et des amoureux du livre principalement. Le processus de conception était composé de la conception d’esquisses fonctionnelles avec Axure, de la conception de maquettes avec Figma, de l’intégration avec du <abbr title =""Hypertext Markup Language"">HTML</abbr> et du BladeOne et de la programmation avec <abbr title =""HypertextPreprocessor"">PHP</abbr> et du Javascript.
</p>
";;"0";"36";"19"
"24";"Maquette web pour Pagaie Québec";"Figma, Adobe Illustrator, Adobe Photoshop";"<p>Ce projet, réalisé dans le cadre du cours de design, consiste à la création d'une maquette pour la page ""activités"" du site Pagaie Québec. Il est demandé de l'adapter en version mobile, seul le texte est fournis mais la recherche de couleurs et d'illustrations reste à faire.</p>";;"0";"39";"15"
"25";"Festival OFF";"Avec FIGMA, Photoshop, <abbr title=""Hypertext Preprocessor"">HTML</abbr>, <abbr title=""Hypertext Preprocessor"">CSS</abbr>, <abbr title=""Hypertext Preprocessor"">PHP</abbr>, <abbr title=""Hypertext Preprocessor"">SQL</abbr>, JavaScript";"<p>Le Festival OFF de Québec est un festival indépendant de découvertes musicales qui se veut avant-gardiste, audacieux et diversifié. L’objectif du projet était donc de traduire cette perception dans le design du site web lors de la conception, en plus de nous fournir un contexte pour mettre en pratique nos nouvelles connaissances en PHP, SQL et jQuery.</p>

<p>Projet individuel, nous avons notamment eu à faire les tâches suivantes: schématisation de l’intégration, découpage des modules (blocs BEM), traitement et optimisation d’une grande quantité d’images et programmation PHP des requêtes nécessaires à l’affichage des informations d’une base de données MySQL.</p>";;"0";"57";"13"
"27";"Pagaie Québec";"Figma, Photoshop, Illustrator";"<p>Pagaie Québec est une plateforme Web qui souhaitait à l’origine offrir à la communauté québécoise des sports de pagaies une visibilité pour promouvoir ses produits et ses services. L’ensemble de la plateforme étant en développement graduel, à ce jour, une Boutique et une section Formation a été mise en ligne. Le Club Pagaie Québec s’est récemment ajouté au site.</p><p>Le site vise à devenir une référence incontournable pour l’utilisateur ou l’utilisatrice pratiquant un sport de pagaie : kayak d’eau vive, kayak de mer, canot, surf à pagaie, canot à glace, bateau-dragon, rafting.La plateforme Web est un lieu de promotion de services offerts par les formateurs ou formatrices des sports de pagaie. Les instructeurs ou instructrices travaillant en mode autonome peuvent présenter leurs formations ou leurs activités ponctuelles.</p>


";;"0";"57";"15"
"28";"La Pastèque";"<abbr title=""Asynchronous Javascript and XML"">Ajax</abbr>
<abbr title=""Cascading Style Sheets"">CSS</abbr>
<abbr title=""Hypertext Markup Language"">HTML</abbr>
<abbr title=""Modèle-Vue-Contrôleur"">MVC</abbr>
<abbr title=""Hypertext Preprocessor"">PHP</abbr>
<abbr title=""Structured Query Language"">SQL</abbr>";"<p>Le projet propose de réaliser une application de commerce électronique pour une maison d’édition spécialisée dans la bande dessinée et les albums jeunesse, les Éditions La Pastèque.</p><p>Projet effectuer avec <a href=""#"">Joséphine Audet</a> et <a href=""#"">Louis Pouliot</a></p>";;"0";"47";"19"
"29";"La Pastèque";"<abbr title=""Hypertext Markup Language"">HTML</abbr>, <abbr title=""Cascading Style Sheet"">CSS</abbr>, <abbr title=""Syntactically Awesome Style Sheet"">SASS</abbr>, <abbr title=""Hypertext Preprocessor"">PHP</abbr>, Blade, JavaScript et TypeScript.";"<p>Nous avons eu comme mandat de faire notre propre version du site Web de <a href=https://www.lapasteque.com>La Pastèque</a>. Nous devions refaire le site presque qu’au complet selon des récits qui nous ont été fournis et à l’aide des notions que nous avions appris jusqu’à présent. Ce projet nous a principalement amené à apprendre à réfléchir par nous-mêmes ainsi qu’à exploiter notre créativité.</p>";;"0";"50";"19"
"30";"Agence Web - CubeStudio";"<abbr title=""Cascading Style Sheets"">CSS</abbr>, <abbr title=""Hypertext Markup Language"">HTML</abbr>, <abbr title=""Hypertext Preprocessor"">PHP</abbr>, Figma, Axure, PhpStorm. ";"<p>Dans le cadre du cours de réalisation de produits numérique interactifs, mes collèges et moi avons réalisé un site web pour notre propre agence web fictive. Le mandat consistait à présenté notre agence et ses réalisations. Nous devions incorporer des actualités, présenter les différentes réalisations de l'agence et faire des fiches de présentation pour chaque membre de l'équipe.</p>
<p>Projet d'équipe avec <a href='#'>Arianne Paquet</a>, <a href='#'>Anne-Marie Bourgault</a> et <a href='#'>Gabriel Lavoie</a>.
<br>Design des dessins par <a href='#'>Gabriel Lavoie</a></p>";;"0";"45";"17"
<br />
<b>Fatal error</b>:  Uncaught TypeError: PhpMyAdmin\Encoding::convertString(): Return value must be of type string, bool returned in /Applications/MAMP/bin/phpMyAdmin5/libraries/classes/Encoding.php:199
Stack trace:
#0 /Applications/MAMP/bin/phpMyAdmin5/libraries/classes/Export.php(182): PhpMyAdmin\Encoding::convertString('utf-8', 'windows-1252', '&quot;31&quot;;&quot;La Past\xC3\xA8...')
#1 /Applications/MAMP/bin/phpMyAdmin5/libraries/classes/Plugins/Export/ExportCsv.php(336): PhpMyAdmin\Export-&gt;outputHandler('&quot;31&quot;;&quot;La Past\xC3\xA8...')
#2 /Applications/MAMP/bin/phpMyAdmin5/libraries/classes/Export.php(1117): PhpMyAdmin\Plugins\Export\ExportCsv-&gt;exportData('rpni4_timcsf_20...', 'projets', '\n', 'index.php?route...', 'SELECT `id`, `t...', Array)
#3 /Applications/MAMP/bin/phpMyAdmin5/libraries/classes/Controllers/ExportController.php(613): PhpMyAdmin\Export-&gt;exportTable('rpni4_timcsf_20...', 'projets', 'data', Object(PhpMyAdmin\Plugins\Export\ExportExcel), '\n', 'index.php?route...', 'table', false, false, false, false, '1', '0', '0', '', Array)
#4 /Applications/MAMP/bin/phpMyAdmin5/libraries/classes/Routing.php(186): PhpMyAdmin\Controllers\ExportController-&gt;index(Array)
#5 /Applications/MAMP/bin/phpMyAdmin5/index.php(19): PhpMyAdmin\Routing::callControllerForRoute('/export', Object(FastRoute\Dispatcher\GroupCountBased), Object(Symfony\Component\DependencyInjection\ContainerBuilder))
#6 {main}
  thrown in <b>/Applications/MAMP/bin/phpMyAdmin5/libraries/classes/Encoding.php</b> on line <b>199</b><br />
